timestamp,log_id,confidence,model_name,cpu,detection_boxes,model_processing_time,image_processing_time,absolute_time_from_start,utility
2025-10-20T00:10:50.537977,8428,0.8386632204055786,yolov5n,56.1,2,0.32998061180114746,477.5871706008911,2020.869017124176,-2382.59480685058
2025-10-20T00:10:50.618457,8429,0.5241719186306,yolov5n,50.0,3,0.05210375785827637,477.60216879844666,2020.949492931366,-2382.9842890651416
2025-10-20T00:10:50.708629,8430,0.7476849903663,yolov5n,51.8,12,0.061009883880615234,477.623251914978,2021.0396542549133,-2382.8661914706477
2025-10-20T00:10:42.542244,8401,0.8249818086624146,yolov5n,48.2,1,0.06545543670654297,471.3920199871063,2012.8732686042786,-2351.632766169121
2025-10-20T00:10:43.074292,8402,0.6272233545780181,yolov5n,60.7,5,0.49454474449157715,471.86036109924316,2013.4053118228912,-2354.172227842187
2025-10-20T00:11:05.210766,8517,0.7801340818405151,yolov5n,59.6,3,0.3615713119506836,483.0628025531769,2035.5418055057526,-2410.031468372442
2025-10-20T00:11:05.289790,8518,0.7449459433555603,yolov5n,52.5,2,0.05649590492248535,483.0770707130432,2035.6208231449127,-2410.1379972389177
2025-10-20T00:11:05.386960,8519,0.6590380668640137,yolov5n,43.8,1,0.05230236053466797,483.10448575019836,2035.7179985046387,-2410.3609801641096
2025-10-20T00:11:05.453541,8520,0.9272428154945374,yolov5n,49.5,2,0.04648447036743164,483.09799432754517,2035.7845780849457,-2410.0603183346702
2025-10-20T00:11:05.541624,8521,0.581436374783516,yolov5n,48.9,10,0.059159040451049805,483.1184256076813,2035.8726618289948,-2410.5082810739054
2025-10-20T00:11:05.627583,8522,0.6325936588374051,yolov5n,49.2,11,0.0564882755279541,483.13336277008057,2035.9586017131805,-2410.5318095271623
2025-10-20T00:11:05.752020,8523,0.9150925874710083,yolov5n,41.0,2,0.07290124893188477,483.183979511261,2036.0830578804016,-2410.5023940513474
2025-10-20T00:11:06.080857,8524,0.5934894184271494,yolov5n,55.9,12,0.28334665298461914,483.4364233016968,2036.41188788414,-2412.0862149103527
2025-10-20T00:11:06.159730,8525,0.9054428935050964,yolov5n,53.0,1,0.05794548988342285,483.4419057369232,2036.4907720088959,-2411.8016735839947
2025-10-20T00:11:06.256581,8526,0.48709081519733777,yolov5n,53.2,11,0.06443548202514648,483.4744510650635,2036.5876207351685,-2412.498934545318
2025-10-20T00:11:06.352178,8527,0,yolov5n,55.9,0,0.07319521903991699,483.50047183036804,2036.6832146644592,-2417.4999366519137
2025-10-20T00:11:07.663099,8536,0.8732062578201294,yolov5n,49.0,1,0.06796097755432129,484.20675826072693,2037.9941346645355,-2415.6581690144394
2025-10-20T00:11:07.787058,8537,0.8341366499662399,yolov5n,43.9,4,0.07281756401062012,484.26704621315,2038.1180276870728,-2415.9986780829695
2025-10-20T00:11:07.852099,8538,0.8974836468696594,yolov5n,51.6,1,0.04899787902832031,484.2695047855377,2038.1831374168396,-2415.947623935712
2025-10-20T00:11:08.020333,8539,0.5425178706645966,yolov5n,51.8,10,0.12643170356750488,484.3506155014038,2038.3513722419739,-2416.7081428856936
2025-10-20T00:11:08.096033,8540,0.8377201557159424,yolov5n,58.5,1,0.05787205696105957,484.3533706665039,2038.4270720481873,-2416.426716412367
2025-10-20T00:11:08.192474,8541,0.7471873462200165,yolov5n,43.2,2,0.05832028388977051,484.4087452888489,2038.5235078334808,-2416.794122056715
2025-10-20T00:11:08.311926,8542,0.8183420896530151,yolov5n,46.6,1,0.07983613014221191,484.453307390213,2038.642962694168,-2416.9457775972924
2025-10-20T00:11:08.429497,8543,0.6491529128768228,yolov5n,43.8,11,0.06509089469909668,484.4975392818451,2038.7605307102203,-2417.33612601107
