timestamp,log_id,confidence,model_name,cpu,detection_boxes,model_processing_time,image_processing_time,absolute_time_from_start,utility
2025-10-20T13:33:46.185937,534,0.7565571546554566,yolov5s,28.5,5,0.658867597579956,1.242659568786621,182.83169865608215,-0.2287614975991334
2025-10-20T13:33:40.790168,520,0.9240528345108032,yolov5s,52.4,2,0.12449908256530762,0.8682308197021484,177.43594765663147,0.4972579346762763
2025-10-20T13:34:42.200621,681,0.9275351166725159,yolov5s,29.9,1,0.7056691646575928,1.2580251693725586,238.84640645980835,-0.08851470602277867
2025-10-20T13:34:42.336214,682,0.8073860704898834,yolov5s,51.2,2,0.11096549034118652,0.9678449630737305,238.98199009895325,0.3252499798933665
2025-10-20T13:34:42.594788,683,0.5149307548999786,yolov5s,69.7,9,0.2317953109741211,0.8047661781311035,239.24056887626648,0.12339398927158779
2025-10-20T13:34:42.722066,684,0.9485191106796265,yolov5s,57.4,1,0.10942649841308594,0.5230412483215332,239.367840051651,0.7134961949454414
2025-10-20T13:34:42.898314,685,0.7082281155245644,yolov5s,53.3,7,0.15470194816589355,0.26226043701171875,239.54408311843872,0.6180834282958318
2025-10-20T13:34:48.463010,696,0.522402435541153,yolov5n,32.6,2,0.5888371467590332,1.1330230236053467,245.1087806224823,-0.24364334562375928
2025-10-20T13:34:48.608831,697,0.9033998847007751,yolov5n,51.8,1,0.11684894561767578,0.8377625942230225,245.25461053848267,0.493531776799096
2025-10-20T13:34:48.715120,698,0.7157285690307618,yolov5n,47.3,5,0.07035350799560547,0.5019609928131104,245.36086893081665,0.49241690635681157
2025-10-20T13:34:49.076326,699,0.8777681589126587,yolov5n,51.1,1,0.31792497634887695,0.4718286991119385,245.7221028804779,0.6711966594060261
2025-10-20T13:34:49.187536,700,0.4968496362368266,yolov5n,42.2,15,0.07409453392028809,0.15295004844665527,245.8333158493042,0.45798187656869094
2025-10-20T13:34:44.232717,686,0.6815319018704551,yolov5s,25.6,7,0.6020224094390869,1.1692395210266113,240.8784990310669,-0.156946801704064
2025-10-20T13:34:44.386574,687,0.5828698774178823,yolov5s,62.2,3,0.14258742332458496,0.937446117401123,241.0323405265808,0.11762203441725841
2025-10-20T13:34:44.481853,688,0.8470751643180847,yolov5n,45.1,2,0.06717586517333984,0.6222352981567383,241.1276342868805,0.5569444431198968
2025-10-20T13:34:44.586407,689,0.6032157987356186,yolov5n,47.3,4,0.07031464576721191,0.3304603099822998,241.23218607902527,0.47518229318989647
2025-10-20T13:34:50.592694,701,0.8925326466560364,yolov5n,24.3,1,0.5819072723388672,1.140669584274292,247.23847365379333,0.11119375944633958
2025-10-20T13:34:50.739660,702,0.8847090601921082,yolov5n,51.5,1,0.11514091491699219,0.8800981044769287,247.38543701171875,0.4513212243715922
2025-10-20T13:34:50.822438,703,0.48670488595962524,yolov5n,53.7,1,0.06217622756958008,0.5259683132171631,247.46821808815002,0.21017058730077662
2025-10-20T13:34:50.886668,704,0.678688570857048,yolov5n,56.6,6,0.05139946937561035,0.18938446044921875,247.53242087364197,0.6290305372741487
2025-10-20T13:34:46.455368,692,0.7030076533555984,yolov5n,49.7,4,0.10501646995544434,0.8956737518310547,243.10115027427673,0.2609666801161236
2025-10-20T13:34:46.561785,693,0.741874486207962,yolov5n,38.3,4,0.0631413459777832,0.52484130859375,243.2075662612915,0.505851536989212
2025-10-20T13:34:46.854919,694,0.7638229628403982,yolov5n,49.1,6,0.24625396728515625,0.40794825553894043,243.5007016658783,0.5927405986520979
2025-10-20T13:34:52.306503,705,0.6942986309528351,yolov5n,24.7,5,0.6059863567352295,1.1579458713531494,248.95225405693054,-0.12159279586203697
